Year,Survey Country,NPFMC Sablefish Mgmt Area ID,NPFMC Sablefish Management Area,Species Code,Common Name,CPUE,RPN,RPW
1993,United States,2,Bering Sea,20510,"""Sablefish""",,,
1993,United States,3,Central Gulf of Alaska,20510,"""Sablefish""",10.4174031336941,184910.592426538,639160.66519357
1993,United States,4,East Yakutat/Southeast,20510,"""Sablefish""",11.9735593386889,130085.847554115,447354.78810401
1993,United States,6,West Yakutat,20510,"""Sablefish""",13.8368553181729,80004.6974496756,304701.582561946
1993,United States,7,Western Gulf of Alaska,20510,"""Sablefish""",7.87727435418775,72053.4285177553,234168.634711085
1992,Japan,1,Aleutians,20510,"""Sablefish""",0.9,49000,169000
1992,Japan,2,Bering Sea,20510,"""Sablefish""",1.35,32000,96000
1992,Japan,3,Central Gulf of Alaska,20510,"""Sablefish""",8.55,151000,507000
1992,Japan,4,East Yakutat/Southeast,20510,"""Sablefish""",6.75,71000,268000
1992,Japan,6,West Yakutat,20510,"""Sablefish""",10.35,59000,225000
1992,United States,1,Aleutians,20510,"""Sablefish""",,,
1992,United States,2,Bering Sea,20510,"""Sablefish""",,,
1992,United States,3,Central Gulf of Alaska,20510,"""Sablefish""",9.28924264099302,165140.197913905,567712.121646464
1992,United States,4,East Yakutat/Southeast,20510,"""Sablefish""",12.5363975142596,129991.278177168,475527.602098407
1992,United States,6,West Yakutat,20510,"""Sablefish""",15.0955722905239,87282.5989838089,316769.916988147
1992,United States,7,Western Gulf of Alaska,20510,"""Sablefish""",4.07967412601385,32225.3459213834,86580.3973254436
1991,Japan,1,Aleutians,20510,"""Sablefish""",1.35,61000,203000
1991,Japan,2,Bering Sea,20510,"""Sablefish""",1.35,30000,93000
1991,Japan,3,Central Gulf of Alaska,20510,"""Sablefish""",7.2,126000,423000
1991,Japan,4,East Yakutat/Southeast,20510,"""Sablefish""",7.2,75000,274000
1991,Japan,6,West Yakutat,20510,"""Sablefish""",9,52000,193000
1991,Japan,7,Western Gulf of Alaska,20510,"""Sablefish""",4.5,42000,135000
1991,United States,1,Aleutians,20510,"""Sablefish""",,,
1991,United States,2,Bering Sea,20510,"""Sablefish""",,,
1991,United States,3,Central Gulf of Alaska,20510,"""Sablefish""",10.6984495326321,189077.502502405,641666.3136796
1991,United States,6,West Yakutat,20510,"""Sablefish""",12.8475553660385,74284.5651264348,277401.893171357
1991,United States,7,Western Gulf of Alaska,20510,"""Sablefish""",6.30801212559918,57699.3869128557,196556.251178102
1990,Japan,1,Aleutians,20510,"""Sablefish""",1.8,75000,214000
1990,Japan,2,Bering Sea,20510,"""Sablefish""",2.7,72000,205000
1990,Japan,3,Central Gulf of Alaska,20510,"""Sablefish""",8.1,144000,481000
1990,Japan,4,East Yakutat/Southeast,20510,"""Sablefish""",5.85,62000,221000
